candidate,instance,step,x
0,0,0,0.2
0,2,0,2.2
0,3,0,3.2
0,4,0,4.2
0,5,0,5.2
0,5,1,5.4
0,5,2,5.6
0,6,0,6.2
0,6,1,6.4
0,6,2,6.6
0,6,3,6.8
0,7,0,7.2
0,8,0,8.2
0,8,1,8.4
0,8,2,8.6
0,8,3,8.8
0,9,0,9.2
0,10,0,10.2
0,11,0,11.2
0,12,0,12.2
0,13,0,13.2
0,14,0,14.2
0,14,1,14.4
0,15,0,15.2
0,16,0,16.2
0,16,1,16.4
0,16,2,16.6
0,16,3,16.8
0,17,0,17.2
0,18,0,18.2
0,18,1,18.4
0,18,2,18.6
0,18,3,18.8
0,20,0,20.2
0,20,1,20.4
0,20,2,20.6
0,20,3,20.8
0,21,0,21.2
0,21,1,21.4
0,21,2,21.6
0,21,3,21.8
0,22,0,22.2
0,22,1,22.4
0,22,2,22.6
0,23,0,23.2
0,23,1,23.4
0,23,2,23.6
0,23,3,23.8
0,24,0,24.2
0,24,1,24.4
0,24,2,24.6
0,24,3,24.8
0,25,0,25.2
0,26,0,26.2
0,26,1,26.4
0,27,0,27.2
0,27,1,27.4
0,27,3,27.8
0,29,0,29.2
0,30,0,30.2
0,31,0,31.2
0,31,1,31.4
0,31,2,31.6
0,31,3,31.8
0,32,0,32.2
0,33,0,33.2
0,33,1,33.4
0,33,2,33.6
0,34,0,34.2
0,34,1,34.4
0,34,2,34.6
0,36,0,36.2
0,36,1,36.4
0,37,0,37.2
0,37,1,37.4
0,37,2,37.6
0,37,3,37.8
0,38,0,38.2
0,39,0,39.2
0,39,1,39.4
0,39,2,39.6
0,39,3,39.8
0,40,0,40.2
0,40,1,40.4
0,40,2,40.6
0,40,3,40.8
0,41,0,41.2
0,42,0,42.2
0,42,1,42.4
0,42,2,42.6
0,42,3,42.8
0,43,0,43.2
0,44,0,44.2
0,45,0,45.2
0,46,0,46.2
0,46,1,46.4
0,46,2,46.6
0,46,3,46.8
0,47,0,47.2
0,47,1,47.4
0,47,2,47.6
0,47,3,47.8
0,48,0,48.25
0,48,1,48.5
0,48,2,48.75
1,1,0,1.2
1,1,1,1.4
1,3,0,3.2
1,5,0,5.2
1,5,1,5.4
1,5,2,5.6
1,6,0,6.2
1,6,1,6.4
1,6,2,6.6
1,6,3,6.8
1,7,0,7.2
1,8,0,8.2
1,8,1,8.4
1,8,2,8.6
1,8,3,8.8
1,9,0,9.2
1,12,0,12.2
1,13,0,13.2
1,14,0,14.2
1,14,1,14.4
1,16,0,16.2
1,16,1,16.4
1,16,2,16.6
1,16,3,16.8
1,17,0,17.2
1,18,0,18.2
1,18,1,18.4
1,18,2,18.6
1,18,3,18.8
1,20,0,20.2
1,20,1,20.4
1,20,2,20.6
1,20,3,20.8
