candidate,instance,step,x
0,0,0,0.13
0,0,1,0.25
0,1,1,1.25
0,2,0,2.13
0,2,1,2.25
0,2,2,2.38
0,2,3,2.5
0,2,4,2.63
0,3,0,3.13
0,3,1,3.25
0,3,2,3.38
0,3,3,3.5
0,3,4,3.63
0,3,5,3.75
0,3,6,3.88
0,4,0,4.13
0,4,1,4.25
0,5,0,5.13
0,5,1,5.25
0,5,2,5.38
0,5,3,5.5
0,5,4,5.63
0,5,5,5.75
0,6,0,6.13
0,6,1,6.25
0,6,2,6.38
0,6,3,6.5
0,6,4,6.63
0,6,5,6.75
0,6,6,6.88
0,7,0,7.13
0,7,1,7.25
0,7,2,7.38
0,7,3,7.5
0,8,0,8.13
0,9,0,9.13
0,9,1,9.25
0,9,2,9.38
0,9,3,9.5
0,9,4,9.63
0,9,5,9.75
0,10,0,10.13
0,10,1,10.25
0,10,2,10.38
0,10,3,10.5
0,11,0,11.13
0,12,0,12.13
0,12,1,12.25
0,12,2,12.38
0,12,3,12.5
0,12,4,12.63
0,12,5,12.75
0,12,6,12.88
0,13,0,13.13
0,14,0,14.13
0,14,1,14.25
0,14,2,14.38
0,14,3,14.5
0,14,4,14.63
0,14,5,14.75
0,15,0,15.13
0,15,1,15.25
0,15,2,15.38
0,15,3,15.5
0,15,4,15.63
0,16,0,16.13
0,16,3,16.5
0,17,0,17.13
0,17,1,17.25
0,17,2,17.38
0,17,3,17.5
0,17,4,17.63
0,17,5,17.75
0,17,6,17.88
0,18,0,18.13
0,18,1,18.25
0,18,2,18.38
0,18,3,18.5
0,19,0,19.13
0,20,0,20.13
0,20,1,20.25
0,20,6,20.88
0,21,0,21.13
0,21,1,21.25
0,21,2,21.38
0,21,3,21.5
0,21,4,21.63
0,22,0,22.13
0,22,1,22.25
0,22,6,22.88
0,23,0,23.13
0,24,0,24.13
0,24,1,24.25
0,24,2,24.38
0,24,3,24.5
0,25,0,25.13
0,25,1,25.25
0,25,2,25.38
0,25,3,25.5
0,26,0,26.13
0,27,0,27.13
0,27,1,27.25
0,27,2,27.38
0,27,3,27.5
0,27,4,27.63
0,28,0,28.13
0,28,1,28.25
0,28,2,28.38
0,28,5,28.75
0,29,0,29.13
0,29,1,29.25
0,30,0,30.13
0,31,0,31.13
0,32,0,32.13
0,33,0,33.13
0,34,0,34.13
0,35,0,35.13
0,36,0,36.13
0,37,0,37.13
0,38,0,38.13
0,39,0,39.13
0,39,1,39.25
0,40,0,40.13
0,41,0,41.13
0,42,0,42.13
0,43,0,43.13
0,43,1,43.25
0,43,2,43.38
0,43,3,43.5
0,43,4,43.63
0,44,0,44.5
1,2,0,2.13
1,2,1,2.25
1,2,2,2.38
1,2,3,2.5
1,2,4,2.63
1,3,0,3.13
1,3,1,3.25
1,4,0,4.13
1,4,1,4.25
1,5,0,5.13
1,5,1,5.25
1,5,2,5.38
1,5,3,5.5
1,6,0,6.13
1,6,1,6.25
1,6,2,6.38
1,6,3,6.5
1,7,0,7.13
1,7,1,7.25
1,7,2,7.38
1,7,3,7.5
1,7,4,7.63
1,7,5,7.75
1,9,0,9.13
1,9,1,9.25
1,9,2,9.38
1,9,3,9.5
1,9,4,9.63
1,9,5,9.75
1,10,0,10.13
1,10,1,10.25
1,12,0,12.13
1,12,1,12.25
1,12,2,12.38
1,14,0,14.13
1,14,1,14.25
1,14,2,14.38
1,14,3,14.5
1,15,0,15.13
1,15,1,15.25
1,15,2,15.38
1,15,3,15.5
1,16,0,16.13
1,17,0,17.13
1,17,1,17.25
1,17,2,17.38
1,17,3,17.5
1,17,4,17.63
1,17,5,17.75
1,18,0,18.13
1,18,1,18.25
1,18,2,18.38
1,18,3,18.5
1,20,0,20.13
1,21,0,21.13
1,21,1,21.25
1,21,2,21.38
1,22,0,22.13
1,24,0,24.13
1,24,1,24.25
1,24,2,24.38
1,24,3,24.5
1,25,0,25.13
1,25,1,25.25
1,25,2,25.38
1,25,3,25.5
1,27,0,27.13
1,27,1,27.25
1,27,2,27.38
1,28,0,28.13
1,33,0,33.13
1,35,0,35.13
1,38,0,38.13
1,42,0,42.13
1,43,0,43.13
1,43,1,43.25
1,43,2,43.38
1,44,0,44.5
2,0,1,0.25
2,0,2,0.38
2,0,3,0.5
2,0,4,0.63
2,0,5,0.75
2,1,1,1.25
2,1,3,1.5
2,2,1,2.25
2,2,2,2.38
2,2,3,2.5
2,5,1,5.25
2,5,2,5.38
2,5,3,5.5
2,5,4,5.63
2,5,5,5.75
2,6,1,6.25
2,6,2,6.38
2,6,3,6.5
2,6,4,6.63
2,6,5,6.75
2,7,1,7.25
2,7,2,7.38
2,7,3,7.5
2,7,4,7.63
2,7,5,7.75
2,9,1,9.25
2,9,2,9.38
2,9,3,9.5
2,9,4,9.63
2,9,5,9.75
2,10,1,10.25
2,10,3,10.5
2,13,1,13.25
2,14,1,14.25
2,14,2,14.38
2,14,3,14.5
2,14,4,14.63
2,14,5,14.75
2,15,1,15.25
2,15,2,15.38
2,15,3,15.5
2,15,4,15.63
2,17,1,17.25
2,17,2,17.38
2,17,3,17.5
2,17,4,17.63
2,17,5,17.75
2,18,1,18.25
2,18,2,18.38
2,18,3,18.5
2,19,1,19.25
2,20,1,20.25
2,21,1,21.25
2,21,2,21.38
2,21,3,21.5
2,21,4,21.63
2,22,1,22.25
2,23,1,23.25
2,24,1,24.25
2,24,2,24.38
2,24,3,24.5
2,25,1,25.25
2,25,2,25.38
2,25,3,25.5
2,26,1,26.25
2,26,2,26.38
2,26,3,26.5
2,27,1,27.25
2,27,2,27.38
2,27,3,27.5
2,28,1,28.25
2,28,3,28.5
2,29,1,29.25
2,30,1,30.25
2,31,1,31.25
2,33,1,33.25
2,35,1,35.25
2,36,1,36.25
2,37,1,37.25
2,38,0,38.13
2,38,1,38.25
2,42,1,42.25
2,43,1,43.25
2,43,2,43.38
2,43,3,43.5
2,43,4,43.63
3,0,1,0.25
3,0,2,0.38
3,0,3,0.5
3,0,4,0.63
3,0,5,0.75
3,1,1,1.25
3,1,3,1.5
3,4,1,4.25
3,6,1,6.25
3,6,2,6.38
3,6,3,6.5
3,6,4,6.63
3,6,5,6.75
3,7,1,7.25
3,7,2,7.38
3,7,3,7.5
3,7,4,7.63
3,7,5,7.75
3,8,1,8.25
3,9,1,9.25
3,9,2,9.38
3,9,3,9.5
3,9,4,9.63
3,9,5,9.75
3,10,1,10.25
3,10,3,10.5
3,12,1,12.25
3,12,2,12.38
3,13,0,13.13
3,13,1,13.25
3,14,1,14.25
3,14,2,14.38
3,14,3,14.5
3,14,4,14.63
3,15,1,15.25
3,15,2,15.38
3,15,3,15.5
3,15,4,15.63
3,16,1,16.25
3,17,1,17.25
3,18,1,18.25
3,19,1,19.25
3,20,1,20.25
3,21,1,21.25
3,21,2,21.38
3,21,3,21.5
3,21,4,21.63
3,22,1,22.25
3,23,1,23.25
3,24,1,24.25
3,24,2,24.38
3,24,3,24.5
3,25,1,25.25
3,25,2,25.38
3,25,3,25.5
3,26,1,26.25
3,26,2,26.38
3,26,3,26.5
3,27,1,27.25
3,27,2,27.38
3,27,3,27.5
3,28,1,28.25
3,28,3,28.5
3,29,1,29.25
3,30,1,30.25
3,31,1,31.25
3,33,1,33.25
3,34,1,34.25
3,35,1,35.25
3,36,1,36.25
3,39,1,39.25
3,39,2,39.38
3,39,3,39.5
3,39,4,39.63
3,39,5,39.75
3,40,1,40.25
3,41,1,41.25
3,42,1,42.25
3,43,1,43.25
3,43,2,43.38
3,43,3,43.5
3,43,4,43.63
4,0,2,0.38
4,0,3,0.5
4,0,4,0.63
4,0,5,0.75
