pattern,candidate,in-steps,out-steps,active-in,active-out,sensitivity,specificity,precision
:run-0-5,0,154,925,154,0,1.0,1.0,1.0
:run-0-5,1,154,925,154,0,1.0,1.0,1.0
:run-0-5,2,154,925,154,0,1.0,1.0,1.0
:rev-5-1,0,96,990,96,0,1.0,1.0,1.0
:rev-5-1,1,96,990,96,0,1.0,1.0,1.0
:rev-5-1,2,96,990,96,0,1.0,1.0,1.0
:run-6-10,0,132,945,132,104,1.0,0.89,0.56
:run-6-10,1,132,945,132,116,1.0,0.88,0.53
:run-6-10,2,132,945,132,116,1.0,0.88,0.53
:jump-6-12,0,116,965,116,132,1.0,0.86,0.47
:jump-6-12,1,116,965,116,132,1.0,0.86,0.47
:jump-6-12,2,116,965,116,128,1.0,0.87,0.48
:twos,0,231,846,198,0,0.86,1.0,1.0
:twos,1,231,846,198,0,0.86,1.0,1.0
:twos,2,231,846,198,0,0.86,1.0,1.0
:saw-10-15,0,203,879,203,0,1.0,1.0,1.0
:saw-10-15,1,203,879,174,0,0.86,1.0,1.0
:saw-10-15,2,203,879,174,0,0.86,1.0,1.0
