candidate,instance,step,x,active
0,0,0,0.13,1
0,0,1,0.25,1
0,0,2,0.38,1
0,0,3,0.5,1
0,0,4,0.63,1
0,0,5,0.75,1
0,0,6,0.88,1
0,1,0,1.13,1
0,1,1,1.25,1
0,1,2,1.38,1
0,1,3,1.5,1
0,1,4,1.63,1
0,1,5,1.75,1
0,1,6,1.88,1
0,2,0,2.13,1
0,2,1,2.25,1
0,2,2,2.38,1
0,2,3,2.5,1
0,2,4,2.63,1
0,2,5,2.75,1
0,2,6,2.88,1
0,3,0,3.13,1
0,3,1,3.25,1
0,3,2,3.38,1
0,3,3,3.5,1
0,3,4,3.63,1
0,3,5,3.75,1
0,3,6,3.88,1
0,4,0,4.13,1
0,4,1,4.25,1
0,4,2,4.38,1
0,4,3,4.5,1
0,4,4,4.63,1
0,4,5,4.75,1
0,4,6,4.88,1
0,5,0,5.13,1
0,5,1,5.25,1
0,5,2,5.38,1
0,5,3,5.5,1
0,5,4,5.63,1
0,5,5,5.75,1
0,5,6,5.88,1
0,6,0,6.13,1
0,6,1,6.25,1
0,6,2,6.38,1
0,6,3,6.5,1
0,6,4,6.63,1
0,6,5,6.75,1
0,6,6,6.88,1
0,7,0,7.13,1
0,7,1,7.25,1
0,7,2,7.38,1
0,7,3,7.5,1
0,7,4,7.63,1
0,7,5,7.75,1
0,7,6,7.88,1
0,8,0,8.13,1
0,8,1,8.25,1
0,8,2,8.38,1
0,8,3,8.5,1
0,8,4,8.63,1
0,8,5,8.75,1
0,8,6,8.88,1
0,9,0,9.13,1
0,9,1,9.25,1
0,9,2,9.38,1
0,9,3,9.5,1
0,9,4,9.63,1
0,9,5,9.75,1
0,9,6,9.88,1
0,10,0,10.14,1
0,10,1,10.29,1
0,10,2,10.43,1
0,10,3,10.57,1
0,10,4,10.71,1
0,10,5,10.86,1
1,0,0,0.13,0
1,0,1,0.25,1
1,0,2,0.38,1
1,0,3,0.5,1
1,0,4,0.63,1
1,0,5,0.75,1
1,0,6,0.88,1
1,1,0,1.13,0
1,1,1,1.25,1
1,1,2,1.38,1
1,1,3,1.5,1
1,1,4,1.63,1
1,1,5,1.75,1
1,1,6,1.88,1
1,2,0,2.13,0
1,2,1,2.25,1
1,2,2,2.38,1
1,2,3,2.5,1
1,2,4,2.63,1
1,2,5,2.75,1
1,2,6,2.88,1
1,3,0,3.13,0
1,3,1,3.25,1
1,3,2,3.38,1
1,3,3,3.5,1
1,3,4,3.63,1
1,3,5,3.75,1
1,3,6,3.88,1
1,4,0,4.13,0
1,4,1,4.25,1
1,4,2,4.38,1
1,4,3,4.5,1
1,4,4,4.63,1
1,4,5,4.75,1
1,4,6,4.88,1
1,5,0,5.13,0
1,5,1,5.25,1
1,5,2,5.38,1
1,5,3,5.5,1
1,5,4,5.63,1
1,5,5,5.75,1
1,5,6,5.88,1
1,6,0,6.13,0
1,6,1,6.25,1
1,6,2,6.38,1
1,6,3,6.5,1
1,6,4,6.63,1
1,6,5,6.75,1
1,6,6,6.88,1
1,7,0,7.13,0
1,7,1,7.25,1
1,7,2,7.38,1
1,7,3,7.5,1
1,7,4,7.63,1
1,7,5,7.75,1
1,7,6,7.88,1
1,8,0,8.13,0
1,8,1,8.25,1
1,8,2,8.38,1
1,8,3,8.5,1
1,8,4,8.63,1
1,8,5,8.75,1
1,8,6,8.88,1
1,9,0,9.13,0
1,9,1,9.25,1
1,9,2,9.38,1
1,9,3,9.5,1
1,9,4,9.63,1
1,9,5,9.75,1
1,9,6,9.88,1
1,10,0,10.14,0
1,10,1,10.29,1
1,10,2,10.43,1
1,10,3,10.57,1
1,10,4,10.71,1
1,10,5,10.86,1
2,0,0,0.13,0
2,0,1,0.25,1
2,0,2,0.38,1
2,0,3,0.5,1
2,0,4,0.63,1
2,0,5,0.75,1
2,0,6,0.88,1
2,1,0,1.13,0
2,1,1,1.25,1
2,1,2,1.38,1
2,1,3,1.5,1
2,1,4,1.63,1
2,1,5,1.75,1
2,1,6,1.88,1
2,2,0,2.13,0
2,2,1,2.25,1
2,2,2,2.38,1
2,2,3,2.5,1
2,2,4,2.63,1
2,2,5,2.75,1
2,2,6,2.88,1
2,3,0,3.13,0
2,3,1,3.25,1
2,3,2,3.38,1
2,3,3,3.5,1
2,3,4,3.63,1
2,3,5,3.75,1
2,3,6,3.88,1
2,4,0,4.13,0
2,4,1,4.25,1
2,4,2,4.38,1
2,4,3,4.5,1
2,4,4,4.63,1
2,4,5,4.75,1
2,4,6,4.88,1
2,5,0,5.13,0
2,5,1,5.25,1
2,5,2,5.38,1
2,5,3,5.5,1
2,5,4,5.63,1
2,5,5,5.75,1
2,5,6,5.88,1
2,6,0,6.13,0
2,6,1,6.25,1
2,6,2,6.38,1
2,6,3,6.5,1
2,6,4,6.63,1
2,6,5,6.75,1
2,6,6,6.88,1
2,7,0,7.13,0
2,7,1,7.25,1
2,7,2,7.38,1
2,7,3,7.5,1
2,7,4,7.63,1
2,7,5,7.75,1
2,7,6,7.88,1
2,8,0,8.13,0
2,8,1,8.25,1
2,8,2,8.38,1
2,8,3,8.5,1
2,8,4,8.63,1
2,8,5,8.75,1
2,8,6,8.88,1
2,9,0,9.13,0
2,9,1,9.25,1
2,9,2,9.38,1
2,9,3,9.5,1
2,9,4,9.63,1
2,9,5,9.75,1
2,9,6,9.88,1
2,10,0,10.14,0
2,10,1,10.29,1
2,10,2,10.43,1
2,10,3,10.57,1
2,10,4,10.71,1
2,10,5,10.86,1
3,0,0,0.13,0
3,0,1,0.25,1
3,0,2,0.38,1
3,0,3,0.5,1
3,0,4,0.63,1
3,0,5,0.75,1
3,0,6,0.88,1
3,1,0,1.13,0
3,1,1,1.25,1
3,1,2,1.38,1
3,1,3,1.5,1
3,1,4,1.63,1
3,1,5,1.75,1
3,1,6,1.88,1
3,2,0,2.13,0
3,2,1,2.25,1
3,2,2,2.38,1
3,2,3,2.5,1
3,2,4,2.63,1
3,2,5,2.75,1
3,2,6,2.88,1
3,3,0,3.13,0
3,3,1,3.25,1
3,3,2,3.38,1
3,3,3,3.5,1
3,3,4,3.63,1
3,3,5,3.75,1
3,3,6,3.88,1
3,4,0,4.13,0
3,4,1,4.25,1
3,4,2,4.38,1
3,4,3,4.5,1
3,4,4,4.63,1
3,4,5,4.75,1
3,4,6,4.88,1
3,5,0,5.13,0
3,5,1,5.25,1
3,5,2,5.38,1
3,5,3,5.5,1
3,5,4,5.63,1
3,5,5,5.75,1
3,5,6,5.88,1
3,6,0,6.13,0
3,6,1,6.25,1
3,6,2,6.38,1
3,6,3,6.5,1
3,6,4,6.63,1
3,6,5,6.75,1
3,6,6,6.88,1
3,7,0,7.13,0
3,7,1,7.25,1
3,7,2,7.38,1
3,7,3,7.5,1
3,7,4,7.63,1
3,7,5,7.75,1
3,7,6,7.88,1
3,8,0,8.13,0
3,8,1,8.25,1
3,8,2,8.38,1
3,8,3,8.5,1
3,8,4,8.63,1
3,8,5,8.75,1
3,8,6,8.88,1
3,9,0,9.13,0
3,9,1,9.25,1
3,9,2,9.38,1
3,9,3,9.5,1
3,9,4,9.63,1
3,9,5,9.75,1
3,9,6,9.88,1
3,10,0,10.14,0
3,10,1,10.29,1
3,10,2,10.43,1
3,10,3,10.57,1
3,10,4,10.71,1
3,10,5,10.86,1
4,0,0,0.13,1
4,0,1,0.25,1
4,0,2,0.38,1
4,0,3,0.5,1
4,0,4,0.63,1
4,0,5,0.75,1
4,0,6,0.88,0
4,1,0,1.13,1
4,1,1,1.25,1
4,1,2,1.38,1
4,1,3,1.5,1
4,1,4,1.63,1
4,1,5,1.75,1
4,1,6,1.88,1
4,2,0,2.13,1
4,2,1,2.25,1
4,2,2,2.38,1
4,2,3,2.5,1
4,2,4,2.63,1
4,2,5,2.75,0
4,2,6,2.88,0
4,3,0,3.13,1
4,3,1,3.25,1
4,3,2,3.38,1
4,3,3,3.5,1
4,3,4,3.63,1
4,3,5,3.75,1
4,3,6,3.88,0
4,4,0,4.13,1
4,4,1,4.25,1
4,4,2,4.38,1
4,4,3,4.5,1
4,4,4,4.63,1
4,4,5,4.75,1
4,4,6,4.88,1
4,5,0,5.13,1
4,5,1,5.25,1
4,5,2,5.38,1
4,5,3,5.5,1
4,5,4,5.63,1
4,5,5,5.75,0
4,5,6,5.88,0
4,6,0,6.13,1
4,6,1,6.25,1
4,6,2,6.38,1
4,6,3,6.5,1
4,6,4,6.63,1
4,6,5,6.75,1
4,6,6,6.88,0
4,7,0,7.13,1
4,7,1,7.25,1
4,7,2,7.38,1
4,7,3,7.5,1
4,7,4,7.63,1
4,7,5,7.75,1
4,7,6,7.88,0
4,8,0,8.13,1
4,8,1,8.25,1
4,8,2,8.38,1
4,8,3,8.5,1
4,8,4,8.63,1
4,8,5,8.75,1
4,8,6,8.88,0
4,9,0,9.13,1
4,9,1,9.25,1
4,9,2,9.38,1
4,9,3,9.5,1
4,9,4,9.63,1
4,9,5,9.75,0
4,9,6,9.88,0
4,10,0,10.14,1
4,10,1,10.29,1
4,10,2,10.43,1
4,10,3,10.57,1
4,10,4,10.71,1
4,10,5,10.86,0
5,0,0,0.13,0
5,0,1,0.25,1
5,0,2,0.38,1
5,0,3,0.5,1
5,0,4,0.63,1
5,0,5,0.75,1
5,0,6,0.88,1
5,1,0,1.13,0
5,1,1,1.25,1
5,1,2,1.38,1
5,1,3,1.5,1
5,1,4,1.63,1
5,1,5,1.75,1
5,1,6,1.88,1
5,2,0,2.13,0
5,2,1,2.25,1
5,2,2,2.38,1
5,2,3,2.5,1
5,2,4,2.63,1
5,2,5,2.75,1
5,2,6,2.88,1
5,3,0,3.13,0
5,3,1,3.25,1
5,3,2,3.38,1
5,3,3,3.5,1
5,3,4,3.63,1
5,3,5,3.75,1
5,3,6,3.88,1
